"","spp","stat","El Corral_NP","El Corral_P","La Caoba_NP","La Caoba_P","La Cueva_NP","La Cueva_P","Morelia_NP","Morelia_P"
"1","AMRE","mig",3,15,18,14,17,24,13,10
"2","BANA","res",19,3,71,6,99,14,44,4
"3","BAWW","mig",4,14,1,4,3,4,1,11
"4","BCPT","res",14,33,20,18,23,31,19,25
"5","BFGR","res",6,2,26,7,22,2,12,0
"6","BTBW","mig",19,25,26,12,26,18,13,35
"7","CMWA","mig",11,4,102,42,45,37,21,16
"8","COYE","mig",0,0,20,51,8,7,11,10
"9","GABU","res",35,8,50,32,42,32,47,20
"10","GRWA","res",6,24,12,25,10,18,4,9
"11","HLCU","res",16,4,6,4,6,5,10,3
"12","NOMO","res",15,1,18,13,16,8,16,2
"13","OVEN","mig",30,42,21,34,20,33,46,52
"14","PAWA","mig",2,1,9,3,12,8,3,0
"15","PRAW","mig",0,1,11,17,8,17,3,7
"16","RLTH","res",13,2,37,4,33,9,15,3
"17","STOF","res",9,7,3,6,8,10,13,8
"18","YFGR","res",46,6,76,21,109,41,55,2
