"","species","tot.captures"
"37","OVEN",548
"51","YFGR",461
"16","GABU",449
"14","CMWA",358
"4","BANA",313
"6","BCPT",306
"10","BTBW",298
"15","COYE",214
"2","AMRE",194
"19","GRWA",177
"41","RLTH",172
"33","NOMO",121
"7","BFGR",95
"40","PRAW",86
"24","HLCU",85
"46","STOF",78
"5","BAWW",69
"39","PAWA",45
"21","HISP",36
"30","MACU",26
"12","BWVI",24
"17","GRAK",17
"31","MAWA",16
"27","KWQD",15
"38","PALM",10
"42","RTSO",9
"34","NOPA",8
"44","SBAN",8
"3","ANPI",6
"43","RUQD",5
"49","WHQD",4
"26","INBU",3
"45","SSHA",3
"1","AMKE",2
"11","BUOW",2
"18","GRCA",2
"20","HIPE",2
"8","BLGR",1
"9","BLPW",1
"13","BWWA",1
"22","HITR",1
"23","HIWO",1
"25","HOWA",1
"28","LOST",1
"29","LOWA",1
"32","MYWA",1
"35","NOPO",1
"36","NUMA",1
"47","SUTA",1
"48","TEWA",1
"50","YBCU",1
