#Mencia & Aceitilllar sticky trap samples to characterize flying insects,,,,,,,,,,,,,,,,,,,,,
#File recieved from Steve Latta via email.,,,,,,,,,,,,,,,,,,,,,
"#File was in wide format with misc. spaces and other formats; original file password projected; password = ""final""",,,,,,,,,,,,,,,,,,,,,
#this File will need to be melted and reshaped,,,,,,,,,,,,,,,,,,,,,
"# some data set up done in excel to match Aceitillar and Mencia dataset, which appear to have been originally collected or organized somewhat differently",,,,,,,,,,,,,,,,,,,,,
"# ""other"" = Neuroptera and Blattodea; Broadleaf = Aceitillar",,,,,,,,,,,,,,,,,,,,,
site,taxa,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Broadleaf,Coleoptera,2,1,7,0,4,3,16,0,0,9,3,62,8,18,19,1,4,18,5,12
Broadleaf,Diptera,8,11,30,11,19,27,24,28,45,21,38,44,32,39,18,28,22,34,22,24
Broadleaf,Homoptera,74,11,15,14,35,45,45,24,59,36,13,22,19,6,26,14,21,14,26,14
Broadleaf,Hymenoptera,5,2,6,1,0,9,12,5,7,5,8,16,15,31,26,6,13,16,11,27
Broadleaf,Lepidoptera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Broadleaf,Spiders,0,1,0,0,1,0,0,0,1,0,0,1,0,2,0,0,1,0,0,0
Broadleaf,Orthoptera,0,0,0,0,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0
Broadleaf,Unidentified,1,1,0,2,0,0,3,0,1,0,3,2,3,0,0,0,0,0,0,0
El Corral,Coleoptera,2,2,3,2,2,6,3,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
El Corral,Diptera,12,25,10,18,19,15,17,21,7,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
El Corral,Homoptera,5,12,18,14,28,14,1,6,17,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
El Corral,Hymenoptera,6,4,8,5,11,6,9,3,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
El Corral,Lepidoptera,0,0,1,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
El Corral,Spiders,0,0,1,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
El Corral,Orthoptera,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
El Corral,Unidentified,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
La Cueva,Coleoptera,3,0,10,3,1,4,8,7,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
La Cueva,Diptera,10,9,12,13,7,3,12,11,3,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
La Cueva,Homoptera,16,13,11,11,8,8,13,14,12,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
La Cueva,Hymenoptera,2,6,3,6,6,2,2,9,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
La Cueva,Lepidoptera,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
La Cueva,Spiders,0,0,0,0,0,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
La Cueva,Orthoptera,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
La Cueva,Unidentified,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
La Caoba,Coleoptera,8,22,5,1,1,4,5,6,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
La Caoba,Diptera,7,21,12,9,14,9,5,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
La Caoba,Homoptera,18,14,5,10,19,21,17,9,15,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
La Caoba,Hymenoptera,2,0,8,6,3,6,3,7,8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
La Caoba,Lepidoptera,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
La Caoba,Spiders,0,0,0,0,0,1,1,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
La Caoba,Orthoptera,0,0,1,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
La Caoba,Unidentified,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morelia,Coleoptera,0,1,1,1,6,0,4,6,13,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morelia,Diptera,39,115,22,23,19,27,33,11,8,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morelia,Homoptera,17,3,21,12,11,7,15,18,34,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morelia,Hymenoptera,7,4,0,11,10,9,13,4,5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morelia,Lepidoptera,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morelia,Spiders,0,1,0,0,1,1,0,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morelia,Orthoptera,0,1,1,1,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morelia,Unidentified,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
