"","Species","Linear.B","Quad.B","Linear.t","Quad.t","Linear.p","Quad.p","Linear.SE","Quad.SE","siteLaCueva","siteLaCaoba","siteMorelia","siteEl.Corral","siteAceitillar","CI.lo.LaCueva","CI.lo.LaCaoba","CI.lo.Morelia","CI.lo.El.Corral","CI.lo.Aceitillar","CI.hi.LaCueva","CI.hi.LaCaoba","CI.hi.Morelia","CI.hi.El.Corral","CI.hi.Aceitillar"
"1","AMRE",0.472432727094976,-0.286849998365632,1.39037116345022,-0.599466671619047,0.168370855145815,0.5505991001593,0.339788927959803,0.478508667697746,7.06522704631232,7.11265193556505,7.21385287361457,7.29624258174037,7.20964808677214,6.85640283897065,6.81732990939065,6.88367281072511,7.01466407800288,7.04948723091728,7.27405125365398,7.40797396173944,7.54403293650403,7.57782108547786,7.36980894262701
"2","BAWW",0.750433522838922,0.525316510487208,0.926939464922939,0.572548495066142,0.356971370935133,0.568685962720793,0.80958201828348,0.91750570478143,9.60414727382221,9.0930401142126,9.35091530009112,9.96993775372916,9.54091521548339,8.93516953785305,8.42406237824344,8.92781663017006,9.6123541126754,9.34575435194455,10.2731250097914,9.76201785018175,9.77401397001218,10.3275213947829,9.73607607902223
"3","BTBW",0.141101396577845,-0.446559656945801,0.390688212992522,-1.10820689768064,0.696732163329152,0.270026189173596,0.36116113024517,0.402956936904473,8.76473182664049,8.75091960551379,8.9451078583916,8.8781863216512,8.7716491668607,8.52051789508137,8.45181984531439,8.76997297171311,8.67096392917239,8.59128522513949,9.0089457581996,9.05001936571319,9.12024274507009,9.08540871413001,8.95201310858192
"4","CMWA",0.0880834362695602,0.818477126576575,0.191927032360991,1.36748381801122,0.848041215985879,0.173379677652866,0.458942313576162,0.598527833233827,9.38572993599235,9.29717601143708,9.34361477718318,9.06264824964802,9.54703553502167,9.16255206436173,9.08770335108516,8.96710148103771,8.38387925207479,9.38477871001592,9.60890780762298,9.506648671789,9.72012807332866,9.74141724722125,9.70929236002742
"5","OVEN",-0.397949474709321,0.327367120297922,-0.759743468676877,0.538387053727031,0.448147406718948,0.590804709250397,0.523794532123278,0.608051620171202,18.5044323867316,18.5972957523563,18.3176699311422,18.3285365448174,18.4398372531464,18.1245337808521,18.2173971464768,18.0150322518977,17.9917924221366,18.2058646303564,18.8843309926111,18.9771943582358,18.6203076103867,18.6652806674983,18.6738098759363
"6","BANA",-0.647993078597665,-0.767610007527216,-2.64582400276989,-2.50848624052816,0.00855304549653679,0.0126207990729961,0.24491163354754,0.306005269283676,7.53429337843321,7.59461530244174,7.73680490905546,7.39159031227574,7.31180933421738,7.41677123701792,7.45133048357482,7.55701425600089,7.12880281520981,7.1655286899252,7.6518155198485,7.73790012130867,7.91659556211002,7.65437780934168,7.45808997850956
"7","BCPT",-2.39857821587353,-0.165797039265897,-3.39886155103161,-0.185253100195213,0.000776106714559299,0.853166092681985,0.705700476427326,0.894975787672035,27.5939718040293,27.2146698918735,26.864618775886,27.2069342438686,26.3985505200949,27.1162558776404,26.6538105651304,26.3252015481624,26.6983668043856,26.0717809856402,28.0716877304181,27.7755292186165,27.4040360036097,27.7155016833517,26.7253200545496
"8","GABU",-2.66358204096034,-2.31454285229716,-3.40737229134872,-2.27921060462775,0.000726238552920755,0.0232098962019962,0.781711481226501,1.01550196703967,21.1724758830698,21.4835117163068,20.9023230720051,21.268109099803,19.9483861708415,20.6122449462882,20.9767637672375,20.2670808996527,20.5819691331849,19.6465248310253,21.7327068198515,21.990259665376,21.5375652443574,21.9542490664212,20.2502475106578
"9","GRWA",-0.823034971109205,-0.893004982949659,-2.32032947930226,-1.7007517896638,0.0214636753015223,0.0907458080184904,0.354706078792181,0.5250648497781,12.4284820009428,12.2659903663748,12.3630812717706,12.5288677360353,11.885525830558,12.1699669763946,12.0380015446653,11.9836849393524,12.270352711487,11.7296354052678,12.6869970254911,12.4939791880843,12.7424776041888,12.7873827605836,12.0414162558482
"10","STOF",0.253948093945858,-0.320731458210183,0.306980711506044,-0.329781136456502,0.759509397859684,0.742269206813202,0.827244463341009,0.972558532778564,18.8923738739416,18.9409212335418,19.1010815606235,18.9710059633378,19.0043055560165,18.3510392715771,18.175358497096,18.5999031050521,18.3968339110035,18.6365411131895,19.4337084763061,19.7064839699875,19.6022600161949,19.5451780156721,19.3720699988436
