"","V1","V2","V3","V4","V5"
"1","NA (NA-NA)","NA (NA-NA)","NA (NA-NA)","NA (NA-NA)","NA (NA-NA)"
"2","0.64 (0.55-0.74)","NA (NA-NA)","NA (NA-NA)","NA (NA-NA)","NA (NA-NA)"
"3","0.68 (0.59-0.77)","0.67 (0.59-0.76)","NA (NA-NA)","NA (NA-NA)","NA (NA-NA)"
"4","0.59 (0.51-0.67)","0.54 (0.45-0.63)","0.54 (0.45-0.62)","NA (NA-NA)","NA (NA-NA)"
"5","0.55 (0.44-0.65)","0.53 (0.45-0.62)","0.5 (0.42-0.58)","0.69 (0.58-0.79)","NA (NA-NA)"
"6","NA (NA-NA)","NA (NA-NA)","NA (NA-NA)","NA (NA-NA)","NA (NA-NA)"
"7","0.78 (0.71-0.86)","NA (NA-NA)","NA (NA-NA)","NA (NA-NA)","NA (NA-NA)"
"8","0.81 (0.74-0.88)","0.81 (0.74-0.87)","NA (NA-NA)","NA (NA-NA)","NA (NA-NA)"
"9","0.74 (0.67-0.81)","0.7 (0.62-0.78)","0.7 (0.62-0.78)","NA (NA-NA)","NA (NA-NA)"
"10","0.71 (0.61-0.8)","0.7 (0.63-0.77)","0.67 (0.6-0.74)","0.81 (0.73-0.9)","NA (NA-NA)"
